Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,ADSL_log
buenos aires,25 de mayo,25 de mayo,6854100,755,4600,0,2,0,742,0,727,6826,6.628041376179533
buenos aires,25 de mayo,del valle,6854020,181,0,0,0,10,1,0,0,192,5.204006687076795
buenos aires,25 de mayo,gobernador ugarte,6854040,0,0,0,0,0,0,0,181,181,0.0
buenos aires,25 de mayo,norberto de la riestra,6854060,0,782,0,496,16,0,0,185,1479,0.0
buenos aires,25 de mayo,lucas monteverde,6854050,0,0,0,0,0,0,0,6,6,0.0
buenos aires,25 de mayo,ernestina,6854030,75,0,0,0,0,0,0,0,75,4.330733340286331
buenos aires,25 de mayo,pedernales,6854070,154,0,0,25,21,0,0,7,207,5.043425116919247
buenos aires,9 de julio,12 de octubre,6588030,0,0,0,0,0,0,0,19,19,0.0
buenos aires,9 de julio,9 de julio,6588100,4241,3553,80,6238,0,0,0,831,14943,8.352790135124629
buenos aires,9 de julio,alfredo demarchi  (est. facundo quiroga),6588010,450,0,0,0,60,0,0,0,510,6.111467339502679
buenos aires,9 de julio,dudignac,6588040,0,0,0,0,0,0,0,474,474,0.0
buenos aires,9 de julio,manuel b. gonnet  (est. french),6588060,193,0,0,2,2,0,0,0,197,5.267858159063328
buenos aires,9 de julio,villa general fournier  (est. 9 de julio sud),6588120,0,0,0,118,0,0,0,42,160,0.0
buenos aires,9 de julio,patricios,6588110,81,0,0,0,0,0,0,50,131,4.406719247264253
buenos aires,9 de julio,morea,6588080,0,0,0,0,0,0,0,130,130,0.0
buenos aires,adolfo alsina,carhué,6007010,766,0,1,1417,1,0,0,1066,3251,6.642486801367256
buenos aires,adolfo alsina,maza,6007070,0,0,0,390,0,2,0,14,406,0.0
buenos aires,adolfo alsina,rivera,6007080,0,0,0,1253,0,0,0,0,1253,0.0
buenos aires,adolfo alsina,colonia san miguel arcángel,6007020,0,0,0,208,0,0,0,0,208,0.0
buenos aires,adolfo alsina,esteban agustín gascón,6007050,0,0,0,60,0,0,0,0,60,0.0
buenos aires,adolfo gonzales chaves,adolfo gonzales chaves  (est. chaves),6014010,464,0,2,943,0,0,0,690,2099,6.142037405587356
buenos aires,adolfo gonzales chaves,de la garma,6014020,0,0,0,654,6,0,0,57,717,0.0
buenos aires,adolfo gonzales chaves,juan e. barra,6014030,0,0,0,0,0,0,0,46,46,0.0
buenos aires,adolfo gonzales chaves,vásquez,6014040,0,0,0,0,0,0,0,14,14,0.0
buenos aires,alberti,alberti   (est. andrés vaccarezza),6021010,335,0,6,1,0,0,0,2,344,5.817111159963204
buenos aires,alberti,mechita,6021030,285,0,0,0,0,0,0,0,285,5.655991810819852
buenos aires,alberti,coronel seguí,6021020,0,0,0,0,0,0,0,5,5,0.0
buenos aires,alberti,villa ortiz  (est. coronel mom),6021070,0,0,0,0,0,0,0,24,24,0.0
buenos aires,almirante brown,adrogué,6028010,86,9355,53,12087,91,1,0,26,21699,4.465908118654584
buenos aires,almirante brown,burzaco,6028010,39,16766,35,12073,14,2,0,309,29238,3.6888794541139363
buenos aires,almirante brown,claypole,6028010,4,7732,3,3987,15,0,0,2,11743,1.6094379124341003
buenos aires,almirante brown,don orione,6028010,0,5756,0,0,42,0,0,1,5799,0.0
buenos aires,almirante brown,glew,6028010,11,9209,10,12012,12,0,0,54,21308,2.4849066497880004
buenos aires,almirante brown,jose mármol,6028010,0,7604,1,1605,4,0,0,1,9215,0.0
buenos aires,almirante brown,longchamps,6028010,16,9478,20,8223,29,0,0,1,17767,2.833213344056216
buenos aires,almirante brown,malvinas argentinas,6028010,1,4921,3,787,6,0,0,1,5719,0.6931471805599453
buenos aires,almirante brown,ministro rivadavia,6028010,3,3666,4,4309,0,0,0,1,7983,1.3862943611198906
