Año,Trimestre,Provincia,Accesos por cada 100 hogares
2024,1,buenos aires,81.1
2024,1,capital federal,86.86
2024,1,catamarca,68.82
2024,1,chaco,46.7
2024,1,chubut,84.89
2024,1,córdoba,90.7
2024,1,corrientes,51.94
2024,1,entre ríos,69.31
2024,1,formosa,39.61
2024,1,jujuy,57.65
2024,1,la pampa,67.82
2024,1,la rioja,80.03
2024,1,mendoza,52.59
2024,1,misiones,56.76
2024,1,neuquén,79.5
2024,1,río negro,71.14
2024,1,salta,56.3
2024,1,san juan,51.62
2024,1,san luis,70.03
2024,1,santa cruz,67.58
2024,1,santa fe,80.4
2024,1,santiago del estero,49.41
2024,1,tierra del fuego,77.11
2024,1,tucumán,60.48
2023,4,buenos aires,80.96
2023,4,capital federal,84.35
2023,4,catamarca,68.63
2023,4,chaco,44.35
2023,4,chubut,84.96
2023,4,córdoba,90.67
2023,4,corrientes,52.56
2023,4,entre ríos,69.94
2023,4,formosa,39.23
2023,4,jujuy,57.78
2023,4,la pampa,99.96
2023,4,la rioja,80.22
2023,4,mendoza,52.15
2023,4,misiones,56.27
2023,4,neuquén,79.91
2023,4,río negro,70.26
2023,4,salta,56.98
2023,4,san juan,50.08
2023,4,san luis,69.4
2023,4,santa cruz,73.75
2023,4,santa fe,79.75
2023,4,santiago del estero,49.08
2023,4,tierra del fuego,77.82
2023,4,tucumán,61.04
2023,3,buenos aires,80.64
2023,3,capital federal,83.73
2023,3,catamarca,68.55
2023,3,chaco,42.87
2023,3,chubut,84.23
2023,3,córdoba,90.05
2023,3,corrientes,52.78
2023,3,entre ríos,68.84
2023,3,formosa,38.86
2023,3,jujuy,57.61
2023,3,la pampa,99.0
2023,3,la rioja,80.44
2023,3,mendoza,52.03
2023,3,misiones,55.51
2023,3,neuquén,79.97
2023,3,río negro,68.4
2023,3,salta,57.57
2023,3,san juan,50.45
2023,3,san luis,98.55
2023,3,santa cruz,40.89
2023,3,santa fe,79.09
2023,3,santiago del estero,48.67
2023,3,tierra del fuego,73.28
2023,3,tucumán,61.26
2023,2,buenos aires,79.67
2023,2,capital federal,82.81
2023,2,catamarca,67.42
2023,2,chaco,42.87
2023,2,chubut,82.49
2023,2,córdoba,90.13
2023,2,corrientes,52.37
2023,2,entre ríos,64.43
2023,2,formosa,38.32
2023,2,jujuy,57.78
2023,2,la pampa,98.35
2023,2,la rioja,80.01
2023,2,mendoza,52.09
